data,dia_da_semana,hora,valor,status
12-01-2025,dom,08:14:00,150.75,SUSPEITO
28-02-2025,sex,13:47:00,4750.25,SUSPEITO
05-03-2025,qua,07:22:00,320.10,SUSPEITO
22-03-2025,sáb,10:11:00,980.60,SUSPEITO
01-04-2025,ter,08:45:00,670.00,SUSPEITO
08-04-2025,ter,12:00:00,3200.99,SUSPEITO
02-05-2025,sex,11:48:00,8900.00,SUSPEITO
10-05-2025,sáb,13:05:00,260.35,SUSPEITO
21-05-2025,qua,08:59:00,1550.00,SUSPEITO
18-06-2025,qua,09:38:00,5600.50,SUSPEITO
07-07-2025,seg,07:45:00,3750.00,SUSPEITO
20-07-2025,dom,12:15:00,1450.60,SUSPEITO
27-07-2025,dom,15:00:00,290.80,SUSPEITO
01-08-2025,sex,08:05:00,6700.00,SUSPEITO
09-08-2025,sáb,09:50:00,530.20,SUSPEITO
17-08-2025,dom,14:35:00,175.45,SUSPEITO
25-08-2025,seg,16:48:00,2950.00,SUSPEITO
